Zach Wilson Jets East AFC QB 22 74 2 
Elijah Moore Jets East AFC WR 22 70 8 
Michael Carter Jets East AFC RB 22 68 32 
CJ Uzomah Jets East AFC TE 29 78 87 
Mac Jones Patriots East AFC QB 23 75 10 
Damien Harris Patriots East AFC RB 25 71 37 
Jakobi Meyers Patriots East AFC WR 25 74 16 
Hunter Henry Patriots East AFC TE 27 77 85
Tua Tagovailoa Dolphins East AFC QB 24 73 1
Chase Edmunds Dolphins East AFC RB 26 69 2 
Tyreek Hill Dolphins East AFC WR 28 70 10
Mike Gesicki Dolphins East AFC TE 26 74 88 
Josh Allen Bills East AFC QB 25 77 17
Devin Singletary Bills East AFC RB 24 67 26
Stefon Diggs Bills East AFC WR 28 72 14
Dawson Knox Bills East AFC TE 25 76 88
Deshaun Watson Browns North AFC QB 26 74 4
Nick Chubb Browns North AFC RB 26 71 24
Amari Cooper Browns North AFC WR 27 73 19
David Njoku Browns North AFC TE 25 76 85
Joe Burrow Bengals North AFC QB 25 76 9
Joe Mixon Bengals North AFC RB 25 73 28
Jamar Chase Bengals North AFC WR 22 72 1
Hayden Hurst Bengals North AFC TE 28 76 81
Mitchell Trubisky Steelers North AFC QB 27 74 10
Najee Harris Steelers North AFC RB 24 73 22
Chase Claypool Steelers North AFC WR 25 76 11
Pat Freiermuth Steelers North AFC TE 23 77 88 
Lamar Jackson Ravens North AFC QB 25 74 8
JK Dobbins Ravens North AFC RB 23 70 27 
Marquise Brown Ravens North AFC WR 24 69 5
Mark Andrews Ravens North AFC TE 26 77 89
Matt Ryan Colts South AFC QB 36 76 2
Jonathan Taylor Colts South AFC RB 23 70 28
Michael Pittman Colts South AFC WR 24 76 11
Eli Wolf Colts South AFC TE 25 76 87
Trevor Lawrence Jaguars South AFC QB 22 78 16
James Robinson Jaguars South AFC RB 23 69 25
Christian Kirk Jaguars South AFC WR 25 71 13
Evan Engram Jaguars South AFC TE 27 78 88
Ryan Tannehill Titans South AFC QB 33 76 17
Derrick Henry Titans South AFC RB 28 75 22
AJ Brown Titans South AFC WR 24 73 11
Austin Hooper Titans South AFC TE 27 76 81
Davis Mills Texans South AFC QB 23 76 10
Rex Burkhead Texans South AFC RB 31 70 28
Brandin Cooks Texans South AFC WR 28 70 13
Pharoah Brown Texans South AFC TE 27 78 85
Patrick Mahomes Chiefs West AFC QB 26 75 15
Clyde Edwards Chiefs West AFC RB 23 68 25
Juju Schuster Chiefs West AFC WR 25 73 19
Travis Kelce Chiefs West AFC TE 32 77 87
Justin Herbert Chargers West AFC QB 24 78 10
Austin Ekeler Chargers West AFC RB 26 70 30
Keenan Allen Chargers West AFC WR 30 74 13
Gerald Everett Chargers West AFC TE 27 75 81
Derek Carr Raiders West AFC QB 31 75 4
Josh Jacobs Raiders West AFC RB 24 70 28
Davante Adams Raiders West AFC WR 29 73 17
Darren Waller Raiders West AFC TE 29 78 83
Russell Wilson Broncos West AFC QB 33 71 3 
Javonte Williams Broncos West AFC RB 22 70 33
Jerry Jeudy Broncos West AFC WR 23 73 10
Albert Okwuegbunam Broncos West AFC TE 24 77 85
Daniel Jones Giants East NFC QB 24 77 8
Saquon Barkley Giants East NFC RB 25 72 26
Sterling Shepard Giants East NFC WR 29 70 3
Kyle Rudolph Giants East NFC TE 32 78 80
